e    T      sb     swe    sbe    sce    kept    
1    1.407  4.541  4.541  23.58  4.541  96.5   
2    1.379  3.641  3.641  5.678  5.232  94.5   
3    1.351  3.578  3.578  5.489  3.866  95.5   
4    1.324  3.326  3.326  5.496  3.827  94.75  
5    1.298  3.326  3.345  5.322  3.97   93.75  
6    1.272  3.235  3.235  5.718  4.712  94.25  
7    1.246  3.235  3.48   5.327  4.28   94.5   
8    1.221  3.235  3.279  5.894  4.091  94.25  
9    1.197  3.213  3.213  4.931  4.034  94.5   
10   1.173  3.213  3.476  4.965  3.675  94.5   
11   1.15   3.088  3.088  5.227  3.811  91.0   
12   1.127  3.088  3.239  5.003  4.008  93.5   
13   1.104  3.088  3.105  5.152  3.561  92.5   
14   1.082  3.075  3.075  4.81   3.079  92.5   
15   1.06   2.989  2.989  3.956  3.332  92.5   
16   1.039  2.967  2.967  4.542  3.231  91.25  
17   1.018  2.967  3.065  4.888  3.21   91.5   
18   0.998  2.967  3.105  4.046  3.759  92.75  
19   0.978  2.967  3.065  4.431  3.638  94.0   
20   0.959  2.967  3.001  4.699  3.138  94.5   
21   0.939  2.967  3.024  4.389  3.47   91.0   
22   0.921  2.967  3.018  4.304  3.442  92.5   
23   0.902  2.967  3.059  4.552  3.747  93.5   
24   0.884  2.967  3.037  4.443  3.776  92.0   
25   0.866  2.967  3.026  4.448  3.167  92.0   
26   0.849  2.967  2.987  4.43   3.451  90.0   
27   0.832  2.967  3.1    4.516  3.31   93.0   
28   0.815  2.967  3.065  4.465  3.646  89.25  
29   0.799  2.967  3.064  5.18   3.339  91.25  
30   0.783  2.967  3.065  4.679  3.763  89.0   
31   0.768  2.967  3.087  4.474  3.627  88.5   
32   0.752  2.967  3.056  4.412  3.192  90.75  
33   0.737  2.967  2.987  4.47   3.208  90.75  
34   0.722  2.967  3.026  4.108  3.438  90.0   
35   0.708  2.964  2.964  4.711  3.732  90.5   
36   0.694  2.964  2.981  4.307  3.334  92.25  
37   0.68   2.925  2.925  4.3    3.746  93.0   
38   0.666  2.925  3.095  4.622  3.192  88.75  
39   0.653  2.925  3.014  4.15   3.32   89.0   
40   0.64   2.925  3.034  4.597  4.597  88.5   
41   0.627  2.925  2.933  4.874  3.337  87.75  
42   0.615  2.925  2.987  4.369  3.332  86.75  
43   0.602  2.925  3.032  4.654  3.533  89.25  
44   0.59   2.925  2.945  4.222  3.337  88.25  
45   0.578  2.925  2.95   4.201  3.067  89.0   
46   0.567  2.925  2.928  5.111  4.138  86.5   
47   0.556  2.925  2.935  4.205  3.119  91.25  
48   0.544  2.921  2.921  4.414  3.54   87.75  
49   0.534  2.921  2.992  4.414  3.414  84.5   
50   0.523  2.921  3.09   4.487  3.242  86.25  
