m       s*     sc     sb    
65000   3.635  2.751  2.733  
65001   3.079  2.751  2.733  
65002   3.383  2.751  2.733  
65003   2.926  2.751  2.733  
65004   3.407  2.751  2.733  
65005   3.601  2.751  2.733  
65006   2.751  2.751  2.733  
65007   2.751  2.751  2.733  
65008   3.401  2.751  2.733  
65009   2.751  2.751  2.733  
65010   2.751  2.751  2.733  
65011   3.203  2.751  2.733  
65012   2.902  2.751  2.733  
65013   3.352  2.751  2.733  
65014   3.095  2.751  2.733  
65015   3.217  2.751  2.733  
65016   3.635  2.751  2.733  
65017   3.53   2.751  2.733  
65018   3.2    2.751  2.733  
65019   3.231  2.751  2.733  
65020   3.208  2.751  2.733  
65021   2.751  2.751  2.733  
65022   2.751  2.751  2.733  
65023   3.407  2.751  2.733  
65024   2.751  2.751  2.733  
65025   2.751  2.751  2.733  
65026   3.601  2.751  2.733  
65027   3.401  2.751  2.733  
65028   3.208  2.751  2.733  
65029   3.203  2.751  2.733  
65030   3.635  2.751  2.733  
65031   3.383  2.751  2.733  
65032   3.184  2.751  2.733  
65033   3.231  2.751  2.733  
65034   2.751  2.751  2.733  
65035   3.079  2.751  2.733  
65036   3.2    2.751  2.733  
65037   2.902  2.751  2.733  
65038   3.376  2.751  2.733  
65039   2.926  2.751  2.733  
65040   3.217  2.751  2.733  
65041   2.751  2.751  2.733  
65042   3.217  2.751  2.733  
65043   2.751  2.751  2.733  
65044   3.407  2.751  2.733  
65045   3.184  2.751  2.733  
65046   2.751  2.751  2.733  
65047   3.361  2.751  2.733  
65048   3.376  2.751  2.733  
65049   2.751  2.751  2.733  
65050   3.522  2.751  2.733  
65051   3.203  2.751  2.733  
65052   2.751  2.751  2.733  
65053   2.926  2.751  2.733  
65054   3.811  2.751  2.733  
65055   3.231  2.751  2.733  
65056   3.079  2.751  2.733  
65057   2.902  2.751  2.733  
65058   3.635  2.751  2.733  
65059   3.208  2.751  2.733  
65060   3.401  2.751  2.733  
65061   3.522  2.751  2.733  
65062   3.401  2.751  2.733  
65063   3.079  2.751  2.733  
65064   2.751  2.751  2.733  
65065   3.53   2.751  2.733  
65066   3.217  2.751  2.733  
65067   3.208  2.751  2.733  
65068   2.769  2.751  2.733  
65069   2.926  2.751  2.733  
65070   2.751  2.751  2.733  
65071   2.902  2.751  2.733  
65072   2.751  2.751  2.733  
65073   3.635  2.751  2.733  
65074   2.751  2.751  2.733  
65075   3.203  2.751  2.733  
65076   3.231  2.751  2.733  
65077   2.751  2.751  2.733  
65078   3.352  2.751  2.733  
65079   3.407  2.751  2.733  
65080   3.184  2.751  2.733  
65081   3.079  2.751  2.733  
65082   3.231  2.751  2.733  
65083   3.203  2.751  2.733  
65084   3.361  2.751  2.733  
65085   3.635  2.751  2.733  
65086   3.401  2.751  2.733  
65087   3.208  2.751  2.733  
65088   2.751  2.751  2.733  
65089   3.376  2.751  2.733  
65090   3.811  2.751  2.733  
65091   3.383  2.751  2.733  
65092   3.601  2.751  2.733  
65093   3.407  2.751  2.733  
65094   3.184  2.751  2.733  
65095   2.751  2.751  2.733  
65096   3.2    2.751  2.733  
65097   2.926  2.751  2.733  
65098   2.902  2.751  2.733  
65099   3.217  2.751  2.733  
65100   2.751  2.751  2.733  
65101   3.811  2.751  2.733  
65102   3.601  2.751  2.733  
65103   2.751  2.751  2.733  
65104   2.926  2.751  2.733  
65105   3.217  2.751  2.733  
65106   3.407  2.751  2.733  
65107   3.376  2.751  2.733  
65108   2.769  2.751  2.733  
65109   3.635  2.751  2.733  
65110   3.079  2.751  2.733  
65111   3.208  2.751  2.733  
65112   3.184  2.751  2.733  
65113   3.401  2.751  2.733  
65114   3.2    2.751  2.733  
65115   2.751  2.751  2.733  
65116   2.902  2.751  2.733  
65117   3.522  2.751  2.733  
65118   3.203  2.751  2.733  
65119   2.751  2.751  2.733  
65120   3.231  2.751  2.733  
65121   2.902  2.751  2.733  
65122   2.892  2.751  2.733  
65123   3.401  2.751  2.733  
65124   3.095  2.751  2.733  
65125   2.751  2.751  2.733  
65126   3.079  2.751  2.733  
65127   3.208  2.751  2.733  
65128   3.203  2.751  2.733  
65129   3.522  2.751  2.733  
65130   3.53   2.751  2.733  
65131   3.407  2.751  2.733  
65132   3.2    2.751  2.733  
65133   2.751  2.751  2.733  
65134   3.601  2.751  2.733  
65135   2.926  2.751  2.733  
65136   3.231  2.751  2.733  
65137   3.635  2.751  2.733  
65138   2.751  2.751  2.733  
65139   3.217  2.751  2.733  
65140   2.751  2.751  2.733  
65141   3.217  2.751  2.733  
65142   3.376  2.751  2.733  
65143   2.751  2.751  2.733  
65144   3.184  2.751  2.733  
65145   2.769  2.769  2.733  
65146   3.649  2.769  2.733  
65147   3.206  2.769  2.733  
65148   3.331  2.769  2.733  
65149   3.367  2.769  2.733  
65150   3.358  2.769  2.733  
65151   3.497  2.769  2.733  
65152   3.093  2.769  2.733  
65153   2.733  2.733  2.733  
65154   2.885  2.885  2.733  
65155   3.612  2.885  2.733  
65156   3.245  2.885  2.733  
65157   2.867  2.867  2.733  
65158   2.909  2.867  2.733  
65159   3.788  2.867  2.733  
65160   3.308  2.867  2.733  
65161   3.23   2.867  2.733  
65162   3.391  2.867  2.733  
