### instance: myTrafic_1_O40_R40.txt
 - load: [157, 157, 157, 157, 158, 156, 158, 157, 157, 157, 158, 158, 157, 156, 157, 157, 155, 158, 157, 158, 157, 157, 156, 158, 159, 158, 159, 156, 158, 157, 156, 158, 157, 158, 157, 156, 158, 157, 158, 156]
 - std: 0.882885711452609
 - matrix:
 1   : 4 , 18, 0 , 13, 0 , 14, 1 , 0 , 7 , 1 , 0 , 0 , 0 , 1 , 0 , 7 , 3 , 0 , 0 , 3 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 22, 4 , 1 , 5 , 0 , 33, 0 , 10, 0 , 0 , 0 , 0 
 2   : 13, 0 , 0 , 14, 0 , 0 , 2 , 6 , 6 , 5 , 0 , 0 , 0 , 0 , 0 , 7 , 12, 0 , 0 , 0 , 29, 0 , 9 , 0 , 0 , 19, 0 , 0 , 15, 0 , 0 , 0 , 0 , 0 , 7 , 17, 7 , 0 , 24, 0 
 3   : 10, 0 , 0 , 11, 0 , 1 , 0 , 0 , 7 , 0 , 1 , 32, 4 , 1 , 0 , 0 , 0 , 0 , 2 , 6 , 1 , 2 , 0 , 0 , 13, 0 , 0 , 4 , 0 , 3 , 0 , 0 , 6 , 0 , 4 , 0 , 0 , 12, 0 , 0 
 4   : 7 , 0 , 1 , 13, 0 , 0 , 0 , 0 , 22, 4 , 0 , 25, 0 , 23, 0 , 16, 0 , 11, 0 , 0 , 0 , 0 , 0 , 7 , 6 , 0 , 0 , 0 , 0 , 1 , 15, 32, 5 , 0 , 0 , 0 , 0 , 12, 8 , 0 
 5   : 0 , 3 , 4 , 0 , 12, 13, 19, 0 , 9 , 0 , 0 , 3 , 0 , 5 , 10, 0 , 0 , 0 , 2 , 0 , 7 , 0 , 3 , 0 , 3 , 0 , 30, 3 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 2 , 9 , 3 , 0 , 1 
 6   : 4 , 0 , 2 , 0 , 26, 0 , 7 , 0 , 0 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 2 , 0 , 17, 0 , 0 , 0 , 0 , 5 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 14, 4 , 0 , 2 , 8 , 16, 6 , 8 , 6 
 7   : 2 , 2 , 0 , 0 , 18, 0 , 0 , 2 , 0 , 1 , 0 , 25, 9 , 4 , 0 , 0 , 0 , 24, 12, 9 , 0 , 30, 0 , 1 , 0 , 0 , 1 , 18, 13, 8 , 0 , 0 , 0 , 24, 0 , 1 , 0 , 0 , 0 , 1 
 8   : 1 , 0 , 9 , 0 , 0 , 0 , 26, 0 , 3 , 0 , 16, 6 , 0 , 2 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 8 , 0 , 1 , 0 , 0 , 0 , 3 , 13, 1 , 0 , 0 , 0 , 0 , 0 , 2 , 32, 0 , 0 , 0 
 9   : 0 , 0 , 9 , 0 , 1 , 0 , 19, 0 , 0 , 7 , 0 , 0 , 13, 3 , 1 , 0 , 6 , 0 , 11, 0 , 0 , 1 , 31, 0 , 2 , 24, 0 , 2 , 0 , 3 , 0 , 0 , 9 , 0 , 0 , 4 , 0 , 0 , 0 , 0 
 10  : 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 23, 2 , 8 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6 , 4 , 0 , 0 , 1 , 0 , 14, 0 , 0 , 1 , 0 , 1 , 3 , 0 , 0 , 5 , 0 
 11  : 3 , 0 , 16, 5 , 13, 7 , 0 , 10, 0 , 7 , 0 , 0 , 4 , 9 , 0 , 0 , 8 , 0 , 2 , 4 , 0 , 0 , 0 , 5 , 21, 8 , 0 , 1 , 0 , 1 , 18, 0 , 0 , 0 , 14, 6 , 1 , 0 , 0 , 13
 12  : 0 , 0 , 0 , 0 , 11, 0 , 4 , 0 , 0 , 5 , 0 , 0 , 6 , 0 , 0 , 7 , 5 , 0 , 0 , 11, 0 , 0 , 0 , 3 , 3 , 0 , 0 , 4 , 6 , 0 , 4 , 0 , 3 , 0 , 3 , 0 , 0 , 0 , 5 , 10
 13  : 0 , 2 , 0 , 0 , 0 , 7 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 7 , 38, 33, 1 , 0 , 0 , 4 , 5 , 5 , 0 , 12, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 19, 0 , 0 , 0 , 6 
 14  : 31, 27, 7 , 0 , 7 , 3 , 2 , 2 , 1 , 0 , 0 , 0 , 16, 0 , 0 , 32, 7 , 9 , 0 , 2 , 0 , 0 , 1 , 3 , 1 , 0 , 1 , 1 , 3 , 6 , 6 , 0 , 3 , 0 , 1 , 1 , 0 , 2 , 2 , 11
 15  : 0 , 0 , 5 , 0 , 0 , 3 , 0 , 16, 0 , 0 , 8 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 0 , 1 , 17, 3 , 0 , 18, 15, 21, 0 , 0 , 0 , 0 , 11, 17, 0 , 0 , 0 , 1 , 0 , 3 
 16  : 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 0 , 8 , 0 , 0 , 2 , 0 , 0 , 0 , 2 , 0 , 3 , 0 , 19, 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 0 , 0 , 22, 7 
 17  : 2 , 1 , 3 , 10, 0 , 2 , 0 , 4 , 0 , 0 , 25, 0 , 12, 0 , 3 , 0 , 8 , 21, 14, 0 , 18, 10, 0 , 21, 7 , 0 , 0 , 2 , 0 , 4 , 0 , 0 , 2 , 0 , 0 , 2 , 7 , 0 , 0 , 15
 18  : 4 , 22, 2 , 2 , 0 , 0 , 4 , 15, 2 , 4 , 0 , 9 , 0 , 21, 26, 0 , 1 , 0 , 2 , 0 , 0 , 0 , 0 , 8 , 17, 10, 8 , 3 , 0 , 4 , 14, 5 , 5 , 0 , 0 , 0 , 14, 0 , 0 , 0 
 19  : 0 , 0 , 0 , 14, 16, 0 , 2 , 0 , 0 , 0 , 4 , 6 , 0 , 0 , 5 , 0 , 0 , 0 , 14, 11, 17, 9 , 0 , 4 , 3 , 0 , 11, 4 , 0 , 0 , 0 , 0 , 6 , 8 , 0 , 1 , 5 , 0 , 0 , 0 
 20  : 21, 0 , 9 , 13, 7 , 0 , 0 , 0 , 1 , 0 , 5 , 0 , 8 , 0 , 0 , 0 , 7 , 8 , 7 , 0 , 9 , 12, 0 , 4 , 22, 0 , 1 , 9 , 0 , 0 , 23, 0 , 0 , 3 , 11, 0 , 2 , 0 , 30, 0 
 21  : 7 , 2 , 8 , 0 , 0 , 2 , 9 , 0 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 5 , 1 , 1 , 3 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 5 , 0 , 12, 2 , 0 , 3 , 12, 4 
 22  : 2 , 4 , 0 , 0 , 0 , 24, 0 , 4 , 2 , 9 , 0 , 4 , 15, 0 , 8 , 0 , 21, 2 , 0 , 3 , 0 , 9 , 0 , 9 , 2 , 0 , 2 , 9 , 2 , 6 , 0 , 0 , 23, 14, 3 , 2 , 0 , 22, 3 , 0 
 23  : 0 , 2 , 0 , 0 , 5 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 14, 0 , 12, 0 , 15, 14, 3 , 6 , 7 , 3 , 0 , 0 , 0 , 18, 0 , 0 , 0 , 5 , 0 , 25, 4 , 5 , 0 , 0 , 0 
 24  : 2 , 0 , 10, 9 , 0 , 1 , 0 , 0 , 2 , 28, 0 , 0 , 0 , 2 , 0 , 18, 4 , 14, 3 , 0 , 0 , 0 , 11, 15, 3 , 0 , 12, 5 , 1 , 0 , 0 , 28, 0 , 0 , 1 , 0 , 0 , 3 , 11, 16
 25  : 0 , 1 , 0 , 0 , 7 , 1 , 7 , 0 , 3 , 10, 0 , 0 , 0 , 11, 0 , 3 , 0 , 0 , 0 , 12, 7 , 7 , 0 , 5 , 4 , 0 , 6 , 0 , 0 , 7 , 0 , 23, 17, 20, 0 , 0 , 0 , 20, 0 , 16
 26  : 0 , 21, 0 , 0 , 5 , 0 , 0 , 7 , 0 , 0 , 8 , 0 , 5 , 3 , 8 , 2 , 2 , 19, 3 , 15, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 6 , 7 , 0 , 0 , 5 , 5 , 29, 0 , 0 , 0 , 5 
 27  : 6 , 1 , 0 , 0 , 0 , 17, 1 , 0 , 0 , 3 , 0 , 4 , 24, 0 , 4 , 5 , 4 , 2 , 0 , 0 , 9 , 2 , 0 , 0 , 10, 0 , 0 , 5 , 22, 4 , 0 , 0 , 5 , 0 , 17, 8 , 0 , 6 , 6 , 1 
 28  : 0 , 7 , 12, 1 , 0 , 29, 1 , 0 , 4 , 2 , 21, 0 , 7 , 4 , 0 , 0 , 8 , 7 , 0 , 2 , 0 , 6 , 13, 0 , 5 , 9 , 0 , 0 , 10, 3 , 0 , 29, 0 , 1 , 15, 0 , 7 , 17, 4 , 1 
 29  : 4 , 0 , 0 , 13, 0 , 6 , 1 , 23, 19, 7 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 6 , 0 , 2 , 0 , 4 , 0 , 5 , 2 , 7 , 5 , 0 , 2 , 4 , 11, 9 , 0 , 0 , 6 , 8 , 0 , 5 , 0 , 1 
 30  : 1 , 1 , 0 , 0 , 0 , 3 , 6 , 17, 11, 7 , 0 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 0 , 2 , 13, 2 , 2 , 4 , 0 , 24, 5 , 7 , 4 , 11, 25, 0 , 2 , 0 , 0 , 9 , 15, 0 , 3 , 0 
 31  : 0 , 0 , 0 , 0 , 10, 2 , 0 , 0 , 1 , 0 , 0 , 8 , 19, 0 , 3 , 0 , 2 , 1 , 0 , 9 , 1 , 6 , 1 , 0 , 0 , 12, 0 , 5 , 1 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 27, 0 , 0 
 32  : 0 , 0 , 0 , 4 , 0 , 0 , 14, 0 , 10, 0 , 7 , 3 , 1 , 0 , 0 , 0 , 3 , 0 , 21, 0 , 1 , 0 , 4 , 0 , 0 , 20, 12, 0 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 13
 33  : 0 , 17, 2 , 13, 1 , 2 , 0 , 12, 0 , 2 , 0 , 9 , 2 , 0 , 9 , 0 , 0 , 0 , 0 , 15, 7 , 0 , 8 , 0 , 2 , 0 , 20, 0 , 0 , 8 , 26, 0 , 0 , 0 , 0 , 8 , 30, 0 , 0 , 0 
 34  : 7 , 12, 0 , 1 , 0 , 0 , 0 , 0 , 17, 0 , 12, 0 , 0 , 0 , 0 , 0 , 6 , 1 , 0 , 3 , 0 , 22, 6 , 6 , 3 , 0 , 16, 0 , 0 , 0 , 0 , 0 , 1 , 4 , 0 , 0 , 0 , 2 , 3 , 0 
 35  : 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 20, 0 , 0 , 2 , 0 , 10, 0 , 2 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 
 36  : 26, 0 , 31, 11, 0 , 15, 4 , 2 , 1 , 12, 0 , 2 , 1 , 4 , 0 , 0 , 18, 0 , 0 , 0 , 0 , 4 , 6 , 0 , 0 , 0 , 0 , 19, 0 , 22, 4 , 0 , 9 , 10, 0 , 0 , 0 , 2 , 3 , 18
 37  : 0 , 12, 0 , 1 , 0 , 4 , 6 , 4 , 4 , 1 , 0 , 0 , 0 , 14, 6 , 0 , 10, 0 , 14, 1 , 0 , 0 , 0 , 10, 0 , 1 , 0 , 12, 0 , 20, 0 , 0 , 23, 5 , 25, 0 , 1 , 0 , 4 , 0 
 38  : 0 , 2 , 24, 6 , 5 , 0 , 0 , 10, 0 , 5 , 26, 0 , 0 , 2 , 0 , 0 , 1 , 11, 11, 1 , 6 , 1 , 14, 2 , 0 , 0 , 5 , 0 , 8 , 5 , 1 , 0 , 8 , 3 , 1 , 4 , 1 , 4 , 3 , 2 
 39  : 0 , 0 , 0 , 0 , 10, 0 , 7 , 0 , 25, 14, 0 , 0 , 0 , 18, 12, 0 , 1 , 0 , 17, 8 , 2 , 5 , 0 , 4 , 1 , 0 , 0 , 7 , 0 , 7 , 0 , 0 , 3 , 5 , 0 , 0 , 0 , 3 , 0 , 4 
 40  : 0 , 0 , 3 , 1 , 0 , 0 , 14, 17, 0 , 13, 0 , 20, 3 , 7 , 17, 13, 3 , 0 , 4 , 17, 1 , 4 , 0 , 8 , 0 , 4 , 5 , 0 , 18, 0 , 0 , 12, 0 , 2 , 0 , 1 , 6 , 6 , 2 , 2 


### instance: myTrafic_2_O40_R40.txt
 - load: [174, 174, 173, 174, 174, 173, 173, 174, 172, 173, 175, 170, 173, 174, 172, 171, 174, 173, 174, 172, 174, 172, 173, 173, 175, 174, 174, 171, 174, 174, 174, 173, 172, 173, 172, 173, 173, 175, 172, 175]
 - std: 1.1591331863033443
 - matrix:
 1   : 10, 23, 0 , 0 , 10, 2 , 1 , 0 , 0 , 3 , 0 , 7 , 0 , 0 , 24, 0 , 7 , 0 , 21, 18, 0 , 2 , 17, 0 , 17, 11, 1 , 25, 0 , 1 , 0 , 0 , 13, 8 , 15, 4 , 0 , 0 , 0 , 2 
 2   : 0 , 18, 10, 6 , 0 , 10, 0 , 0 , 0 , 0 , 0 , 23, 1 , 0 , 2 , 0 , 2 , 24, 13, 1 , 0 , 0 , 3 , 1 , 0 , 2 , 0 , 4 , 1 , 2 , 2 , 0 , 2 , 0 , 5 , 25, 0 , 0 , 0 , 0 
 3   : 0 , 0 , 18, 0 , 0 , 0 , 3 , 4 , 0 , 0 , 30, 0 , 16, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 13, 3 , 0 , 5 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 , 0 
 4   : 7 , 2 , 0 , 1 , 4 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 3 , 9 , 0 , 6 , 3 , 0 , 0 , 0 , 12, 14, 0 , 0 , 0 , 0 , 4 , 17, 1 , 38, 5 , 0 , 0 , 4 , 10, 0 , 1 , 26, 8 
 5   : 19, 0 , 0 , 0 , 8 , 13, 0 , 6 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 32, 5 , 0 , 0 , 10, 0 , 2 , 0 , 19, 0 , 4 , 20, 6 , 3 , 0 , 0 , 11, 0 , 3 , 0 , 0 , 0 , 0 , 16, 0 
 6   : 3 , 0 , 7 , 4 , 8 , 0 , 0 , 0 , 0 , 15, 3 , 0 , 8 , 4 , 0 , 0 , 5 , 5 , 0 , 36, 1 , 10, 0 , 0 , 0 , 0 , 0 , 1 , 20, 2 , 0 , 0 , 3 , 0 , 15, 1 , 0 , 4 , 0 , 0 
 7   : 4 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 4 , 4 , 0 , 5 , 0 , 6 , 0 , 3 , 0 , 24, 0 , 0 , 13, 15, 0 , 5 , 2 , 0 , 7 , 1 , 0 , 0 , 1 , 5 , 2 , 2 , 18, 3 , 0 , 17, 0 , 0 
 8   : 0 , 0 , 0 , 1 , 14, 0 , 0 , 0 , 0 , 1 , 3 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , 6 , 0 , 14, 0 , 2 , 0 , 12, 1 , 6 , 1 , 0 , 5 , 0 , 0 , 31, 0 , 0 , 0 , 0 , 0 , 17, 0 
 9   : 0 , 0 , 0 , 0 , 19, 1 , 5 , 2 , 6 , 0 , 0 , 11, 0 , 2 , 0 , 0 , 0 , 0 , 1 , 2 , 0 , 3 , 12, 2 , 0 , 1 , 7 , 9 , 0 , 2 , 6 , 0 , 0 , 10, 7 , 0 , 0 , 10, 0 , 4 
 10  : 1 , 9 , 13, 31, 22, 6 , 8 , 19, 0 , 0 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 2 , 15, 0 , 0 , 3 , 23, 8 , 10, 1 , 21, 2 , 5 , 0 , 0 , 0 , 0 , 5 , 3 , 0 , 1 , 8 , 0 , 0 
 11  : 0 , 19, 0 , 0 , 0 , 0 , 0 , 35, 0 , 20, 1 , 0 , 0 , 12, 0 , 0 , 29, 0 , 2 , 0 , 17, 0 , 0 , 0 , 2 , 0 , 0 , 4 , 2 , 0 , 4 , 0 , 4 , 3 , 1 , 0 , 0 , 0 , 17, 0 
