### instance: myTrafic_1_O80_R80.txt
 - load: [336, 336, 336, 335, 335, 335, 336, 336, 336, 336, 335, 335, 336, 335, 335, 336, 336, 336, 335, 336, 336, 336, 335, 337, 335, 336, 335, 335, 336, 336, 336, 336, 336, 335, 335, 336, 336, 335, 336, 336, 335, 336, 336, 335, 336, 335, 336, 336, 335, 335, 335, 335, 336, 335, 335, 337, 335, 335, 335, 335, 335, 336, 336, 335, 336, 335, 336, 336, 336, 334, 335, 335, 336, 335, 336, 335, 334, 336, 335, 336]
 - std: 0.5948087662050976
 - matrix:
 1   : 9 , 2 , 0 , 0 , 7 , 3 , 0 , 6 , 0 , 0 , 11, 12, 5 , 0 , 0 , 11, 23, 15, 18, 8 , 1 , 0 , 0 , 0 , 11, 5 , 12, 9 , 1 , 12, 28, 2 , 2 , 9 , 0 , 5 , 0 , 0 , 11, 6 , 2 , 0 , 0 , 0 , 1 , 0 , 0 , 6 , 1 , 0 , 0 , 4 , 0 , 3 , 3 , 1 , 22, 0 , 0 , 0 , 2 , 0 , 0 , 9 , 0 , 1 , 0 , 1 , 0 , 11, 10, 8 , 2 , 6 , 5 , 3 , 7 , 4 , 0 , 8 
 2   : 0 , 7 , 6 , 0 , 12, 16, 5 , 11, 0 , 9 , 0 , 18, 11, 0 , 0 , 3 , 0 , 0 , 2 , 4 , 0 , 13, 0 , 12, 0 , 20, 0 , 0 , 22, 0 , 0 , 0 , 4 , 0 , 7 , 22, 0 , 10, 1 , 23, 0 , 0 , 2 , 25, 15, 2 , 0 , 1 , 0 , 3 , 14, 6 , 4 , 0 , 5 , 8 , 6 , 34, 0 , 28, 0 , 11, 11, 0 , 0 , 0 , 27, 0 , 0 , 0 , 0 , 0 , 13, 0 , 0 , 0 , 0 , 17, 9 , 0 
 3   : 0 , 1 , 1 , 0 , 0 , 0 , 5 , 1 , 5 , 0 , 0 , 11, 0 , 0 , 0 , 0 , 18, 0 , 0 , 0 , 17, 0 , 1 , 0 , 7 , 0 , 8 , 0 , 0 , 0 , 16, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8 , 0 , 0 , 2 , 0 , 4 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 21, 0 , 0 , 0 , 0 , 0 , 15, 0 , 0 , 0 , 2 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 4   : 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 2 , 0 , 15, 0 , 27, 15, 24, 2 , 0 , 3 , 4 , 0 , 2 , 11, 1 , 5 , 12, 0 , 0 , 1 , 11, 3 , 3 , 0 , 9 , 12, 0 , 0 , 0 , 21, 0 , 0 , 0 , 12, 5 , 7 , 0 , 0 , 10, 8 , 3 , 0 , 26, 0 , 16, 2 , 0 , 7 , 0 , 0 , 0 , 29, 4 , 0 , 0 , 2 , 6 , 0 , 3 , 0 , 5 , 0 , 2 , 6 , 5 , 2 , 19, 0 , 0 , 0 , 21
 5   : 3 , 2 , 1 , 0 , 5 , 0 , 0 , 11, 0 , 0 , 0 , 1 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 13, 0 , 5 , 0 , 2 , 16, 11, 0 , 26, 0 , 0 , 20, 0 , 0 , 8 , 0 , 0 , 2 , 2 , 0 , 2 , 0 , 3 , 0 , 2 , 0 , 0 , 0 , 0 , 3 , 0 , 3 , 0 , 0 , 17, 0 , 4 , 0 , 0 , 0 , 9 , 1 , 12, 7 , 27, 3 , 18, 0 , 7 , 4 , 0 , 0 , 0 , 9 , 0 , 1 , 1 , 0 , 0 , 0 
 6   : 0 , 7 , 0 , 0 , 5 , 0 , 0 , 0 , 3 , 0 , 12, 1 , 0 , 5 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 27, 11, 0 , 5 , 0 , 1 , 0 , 5 , 0 , 0 , 0 , 0 , 12, 1 , 6 , 0 , 0 , 38, 8 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 6 , 0 , 0 , 4 , 0 , 0 , 0 , 2 , 3 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 
 7   : 0 , 2 , 0 , 26, 0 , 5 , 0 , 1 , 5 , 25, 10, 2 , 0 , 0 , 0 , 3 , 2 , 7 , 4 , 5 , 0 , 11, 0 , 1 , 0 , 0 , 32, 4 , 2 , 37, 0 , 3 , 0 , 2 , 1 , 3 , 0 , 0 , 7 , 0 , 0 , 7 , 0 , 0 , 0 , 2 , 1 , 0 , 1 , 0 , 21, 3 , 0 , 0 , 0 , 13, 0 , 10, 2 , 0 , 0 , 0 , 6 , 0 , 0 , 0 , 0 , 14, 0 , 0 , 0 , 9 , 0 , 0 , 0 , 20, 2 , 13, 0 , 0 
 8   : 0 , 3 , 27, 0 , 0 , 0 , 6 , 0 , 5 , 2 , 0 , 0 , 15, 2 , 0 , 0 , 0 , 30, 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 15, 0 , 0 , 0 , 3 , 0 , 0 , 2 , 2 , 3 , 2 , 0 , 5 , 0 , 2 , 0 , 0 , 0 , 5 , 3 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 11, 18, 0 , 29, 0 , 0 , 5 , 0 , 3 , 0 , 0 , 8 , 0 , 1 , 6 , 3 , 15, 0 , 0 , 20, 6 , 0 , 12, 4 , 0 , 0 , 0 
 9   : 3 , 6 , 6 , 0 , 0 , 0 , 4 , 1 , 26, 12, 26, 0 , 25, 1 , 0 , 3 , 0 , 0 , 2 , 4 , 3 , 0 , 12, 5 , 8 , 0 , 0 , 0 , 0 , 0 , 5 , 1 , 5 , 0 , 0 , 14, 1 , 0 , 2 , 0 , 6 , 2 , 12, 1 , 0 , 8 , 0 , 4 , 6 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , 1 , 11, 0 , 2 , 1 , 2 , 7 , 0 , 0 , 0 , 16, 6 , 4 , 5 , 26, 5 , 0 , 5 , 0 , 4 , 3 , 6 , 32, 2 
 10  : 0 , 13, 0 , 0 , 3 , 0 , 2 , 0 , 0 , 17, 11, 5 , 0 , 0 , 22, 0 , 1 , 4 , 10, 6 , 3 , 5 , 11, 33, 1 , 3 , 2 , 5 , 9 , 0 , 4 , 0 , 0 , 13, 0 , 0 , 0 , 0 , 1 , 2 , 0 , 0 , 6 , 0 , 7 , 0 , 21, 0 , 1 , 13, 17, 0 , 0 , 0 , 0 , 0 , 2 , 0 , 14, 9 , 11, 0 , 0 , 2 , 0 , 18, 1 , 11, 0 , 3 , 0 , 1 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 37
 11  : 0 , 2 , 0 , 8 , 9 , 12, 2 , 15, 4 , 0 , 7 , 2 , 3 , 0 , 2 , 7 , 0 , 0 , 9 , 0 , 0 , 0 , 4 , 5 , 0 , 0 , 11, 15, 9 , 9 , 7 , 0 , 0 , 0 , 20, 0 , 3 , 0 , 0 , 2 , 0 , 1 , 21, 31, 11, 0 , 0 , 9 , 18, 0 , 0 , 0 , 0 , 0 , 14, 0 , 0 , 12, 1 , 29, 7 , 4 , 10, 20, 0 , 0 , 0 , 0 , 20, 0 , 8 , 2 , 5 , 18, 0 , 0 , 11, 0 , 0 , 2 
 12  : 0 , 0 , 1 , 1 , 2 , 0 , 3 , 6 , 5 , 0 , 3 , 0 , 2 , 0 , 0 , 13, 1 , 2 , 0 , 0 , 3 , 7 , 0 , 10, 0 , 0 , 2 , 0 , 0 , 4 , 0 , 0 , 0 , 4 , 13, 0 , 0 , 6 , 3 , 9 , 9 , 17, 0 , 0 , 11, 10, 0 , 29, 9 , 0 , 3 , 1 , 0 , 9 , 0 , 0 , 0 , 2 , 3 , 0 , 0 , 0 , 0 , 1 , 3 , 20, 0 , 0 , 0 , 0 , 6 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 0 , 0 
